"ID","log2FoldChange","pvalue","padj","371-LV","372-LV","373-LV","378-LV","379-LV","380-LV","381-LV","383-LV","392-LV","393-LV","Gene.name"
"ENSMUSG00000000001",0.0389095513023237,0.602916980305612,0.839316555236354,646.192499440379,826.017026730101,687.222825146041,703.249330613494,778.27288427812,738.216045210668,733.804241008986,736.171539042734,733.192386850789,734.899584371847,"Gnai3"
"ENSMUSG00000000028",-0.0789471319642623,0.675454183037968,0.874527396622904,81.0555051562845,107.412470508859,73.3689848910364,119.702013721446,96.6165339808771,73.7439792797198,67.6376083016979,80.4425853920868,64.6070728066115,94.1356090607314,"Cdc45"
"ENSMUSG00000000031",0.742913813361104,0.177350559941199,0.512764080601922,426.667172975442,524.959538965834,193.204993546396,881.651370294495,255.863886471971,638.855736286414,604.909930849147,1413.8393796185,1075.80565173433,1490.12390251817,"H19"
"ENSMUSG00000000037",0.186805348481086,0.559379246044419,0.81714665723098,12.3834799544323,25.7184788542339,22.8259064105447,18.415694418684,19.4204088403773,13.1962910290025,26.7998070629369,25.5953680793004,12.7256355528174,16.0458424535338,"Scml2"
"ENSMUSG00000000056",-0.114508515218587,0.0441601054211379,0.257121050799704,2973.16095996871,2851.72544942535,2880.95547338803,3265.3328166129,2992.19949208113,3250.16885520196,3184.07231533464,2658.26179909305,3032.61684174064,3035.87339220859,"Narf"
"ENSMUSG00000000058",0.0598621609874611,0.661476724162359,0.868541045377768,1837.25811687578,2326.76591045952,1746.9970513499,1976.23420730502,1242.90616578415,1783.05179374228,1637.34059341657,1773.3933597801,1430.16565712817,1558.58616365325,"Cav2"
"ENSMUSG00000000078",0.117019973355863,0.128576824272198,0.439576620530128,1591.84005959703,1885.01321484562,1769.00774681721,1651.65759317572,1789.59067464077,1779.17053167492,1579.91243542457,2098.82018250263,1740.47538560841,1625.97870195809,"Klf6"
"ENSMUSG00000000085",-0.120445035521167,0.0999305574968129,0.388343473783965,1354.30239865292,1063.53474320744,1346.72847822213,1321.32607454057,1400.69698761221,1447.71075112292,1254.48620680319,1246.86007357735,1295.0781412598,1278.31878213152,"Scmh1"
"ENSMUSG00000000088",0.0210797497626145,0.759427503275419,0.911580822321776,17671.225894975,18969.6474325435,16856.116673244,16446.366096786,18629.5126903529,15580.1621907711,16030.1131675024,17468.2293005968,16591.2920757463,15732.4136642747,"Cox5a"
"ENSMUSG00000000093",0.0320451008189184,0.716244913695949,0.892344261720965,352.366293248848,372.161517537738,345.649439931105,370.615850176015,375.299400840291,341.551061927123,413.482737542455,381.492867086715,427.77713358317,364.775485110334,"Tbx2"
"ENSMUSG00000000120",-0.96504196916472,0.000244630271010948,0.00745023986591099,34.8988980534003,10.5899618811551,19.5650626376097,35.6804079362002,36.8987767967169,32.6026013657708,29.3521696403594,24.3765410279051,16.6412157229151,14.9761196232982,"Ngfr"
"ENSMUSG00000000126",0.173643729836123,0.191747036565565,0.530377789426957,244.292286373802,210.286385925795,286.139041075042,189.911848692678,244.211641167745,183.195569579093,178.665380419579,204.762944634403,230.040334993238,241.757359633242,"Wnt9a"
"ENSMUSG00000000127",-0.0225447766370414,0.751046969174366,0.907944891500032,503.219594511933,476.548284651982,497.27867537258,484.562959391622,466.089812169055,506.116573582919,510.472515484512,477.78020414694,455.186194773854,517.745849834023,"Fer"
"ENSMUSG00000000131",0.249091952375954,0.0155403430161248,0.139297293384282,1006.43918902387,1049.91907793167,1107.05646091142,804.535649916256,973.933503344922,750.6360838262,1130.69662179819,1083.53724869038,1129.64487907318,1167.06760778702,"Xpo6"
"ENSMUSG00000000134",-0.0464230076258998,0.524353211522792,0.79732699887673,494.213427272346,459.906915981595,523.36542555606,551.319851659351,528.720630679272,532.509155640924,514.301059350646,483.874339403916,548.181223813674,515.606404173552,"Tfe3"
"ENSMUSG00000000142",0.0752893652133916,0.586986516903229,0.830766292843976,117.080174114633,113.463877298091,163.857399589981,120.852994622614,121.863065473368,133.515415116966,162.075023666333,125.539186293711,148.792046463711,129.436462458506,"Axin2"
"ENSMUSG00000000148",0.0800161162111989,0.428372901796875,0.736475669759766,271.310788092563,287.441822488497,331.790853896131,323.425633228137,356.850012441933,286.437140570701,303.731146713285,352.241017853229,350.444425223741,311.289343598555,"Brat1"
"ENSMUSG00000000149",0.120882160939416,0.119306836142204,0.424211559625948,4881.34264385624,4844.15113477983,5908.64891655813,4765.06093083448,5571.71529630425,5452.39695221844,4748.67057529467,5193.42206599518,5666.82340117385,6031.09731686823,"Gna12"
"ENSMUSG00000000154",-0.258105437834574,0.483641539496645,0.769273094985352,13.5092508593807,27.2313305515418,7.33689848910364,17.2647135175162,18.9348986193679,13.9725434424732,22.971263196803,18.2824057709288,11.746740510293,10.6972283023558,"Slc22a18"
"ENSMUSG00000000168",0.00108680338875729,0.98358048565448,0.995741071061081,14405.3644997197,13195.0925039193,14657.4927593426,15008.7909512274,13570.4961874346,14811.6723014351,13679.3872336962,14088.4218870778,14754.8849759705,14815.6611987628,"Dlat"
"ENSMUSG00000000171",0.00816659112929177,0.89577877466514,0.969847514261333,11597.6918627784,12341.8441466377,11687.6792931421,11417.7305395841,12974.7751462561,10584.9779100869,11106.6057556543,11553.2616201756,11030.1893391651,11415.0123214439,"Sdhd"
"ENSMUSG00000000183",-0.296736931515126,0.431770627912619,0.739420826295618,12.3834799544323,12.102813578463,19.5650626376097,33.3784461338647,17.4783679563396,30.2738441253586,30.6283509290707,34.1271574390671,25.4512711056348,8.55778264188468,"Fgf6"
